Classe,Jour,Période,Horaire,Cours,Code,Salle,Statut
INFO4_S1,Lundi,1,07:00-09:55,CLOUD COMPUTING,INF4107,R108,AVANT MIDI
INFO4_S1,Lundi,2,10:05-12:55,UML ET DESIGN PATTERNS,INF4067,R108,AVANT MIDI
INFO4_S1,Lundi,3,13:05-15:55,LIBRE,-,-,-
INFO4_S1,Lundi,4,16:05-18:55,LIBRE,-,-,-
INFO4_S1,Lundi,5,19:05-21:55,LIBRE,-,-,-
INFO4_S1,Mardi,1,07:00-09:55,COMPLEXITÉ ET ALGORITHMIQUE AVANCÉE,INF4017,R108,AVANT MIDI
INFO4_S1,Mardi,2,10:05-12:55,GÉNIE LOGICIEL,INF4027,R108,AVANT MIDI
INFO4_S1,Mardi,3,13:05-15:55,LIBRE,-,-,-
INFO4_S1,Mardi,4,16:05-18:55,LIBRE,-,-,-
INFO4_S1,Mardi,5,19:05-21:55,LIBRE,-,-,-
INFO4_S1,Mercredi,1,07:00-09:55,TECHNIQUES D'OPTIMISATION II,INF4127,R108,AVANT MIDI
INFO4_S1,Mercredi,2,10:05-12:55,SÉCURITÉ INFORMATIQUE,INF4147,R108,AVANT MIDI
INFO4_S1,Mercredi,3,13:05-15:55,LIBRE,-,-,-
INFO4_S1,Mercredi,4,16:05-18:55,LIBRE,-,-,-
INFO4_S1,Mercredi,5,19:05-21:55,LIBRE,-,-,-
INFO4_S1,Jeudi,1,07:00-09:55,PRINCIPES DE CONCEPTION DES SYSTÈMES D'EXPLOITATION,INF4097,R108,AVANT MIDI
INFO4_S1,Jeudi,2,10:05-12:55,ANALYSE DES DONNÉES,INF4137,R108,AVANT MIDI
INFO4_S1,Jeudi,3,13:05-15:55,LIBRE,-,-,-
INFO4_S1,Jeudi,4,16:05-18:55,LIBRE,-,-,-
INFO4_S1,Jeudi,5,19:05-21:55,LIBRE,-,-,-
INFO4_S1,Vendredi,1,07:00-09:55,FOUILLE DE DONNÉES II,INF4117,R108,AVANT MIDI
INFO4_S1,Vendredi,2,10:05-12:55,PROGRAMMATION DES TERMINAUX MOBILES,INF4077,R108,AVANT MIDI
INFO4_S1,Vendredi,3,13:05-15:55,LIBRE,-,-,-
INFO4_S1,Vendredi,4,16:05-18:55,LIBRE,-,-,-
INFO4_S1,Vendredi,5,19:05-21:55,LIBRE,-,-,-
INFO4_S1,Samedi,1,07:00-09:55,RÉSEAUX II,INF4087,R108,AVANT MIDI
INFO4_S1,Samedi,2,10:05-12:55,ARCHITECTURES LOGICIELLES,INF4057,R108,AVANT MIDI
INFO4_S1,Samedi,3,13:05-15:55,LIBRE,-,-,-
INFO4_S1,Samedi,4,16:05-18:55,SÉCURITÉ LOGICIELLE,INF4157,R108,APRÈS MIDI
INFO4_S1,Samedi,5,19:05-21:55,CRYPTOGRAPHIE SYMÉTRIQUE,INF4167,R108,APRÈS MIDI
INFO3_S1,Lundi,1,07:00-09:55,ENGLISH FOR MATHEMATICS AND COMPUTER SCIENCE II,ENG3035,R108,AVANT MIDI
INFO3_S1,Lundi,2,10:05-12:55,FRANÇAIS POUR SCIENCES MATHÉMATIQUES ET INFORMATIQUES II,FRA3045,R108,AVANT MIDI
INFO3_S1,Lundi,3,13:05-15:55,LIBRE,-,-,-
INFO3_S1,Lundi,4,16:05-18:55,LIBRE,-,-,-
INFO3_S1,Lundi,5,19:05-21:55,LIBRE,-,-,-
INFO3_S1,Mardi,1,07:00-09:55,CONCEPTION ET ANALYSE DES ALGORITHMES,INF3015,R108,AVANT MIDI
INFO3_S1,Mardi,2,10:05-12:55,ANALYSES STATISTIQUES,INF3125,R108,AVANT MIDI
INFO3_S1,Mardi,3,13:05-15:55,LIBRE,-,-,-
INFO3_S1,Mardi,4,16:05-18:55,LIBRE,-,-,-
INFO3_S1,Mardi,5,19:05-21:55,LIBRE,-,-,-
INFO3_S1,Mercredi,1,07:00-09:55,FOUILLE DE DONNÉES I,INF3115,R108,AVANT MIDI
